text_id,text,Anger,Sadness,Surprise,Disgust,Fear,Joy
yoruba_1_00001,FIFA: A fi òfin de ẹ̀yin eléré ìdárayá mẹ́ta wọ̀nyí láti ilẹ̀ Adúláwọ̀ títí ayé,3,0,0,0,0,0
yoruba_1_00002,Ikoyi Collapsed Building: Mọ̀ sì nípa Femi Osibona tó ni ilé alájà 21 tó wó ní Ikoyi,0,1,0,0,0,0
yoruba_1_00003,"JOHESU fún ìjọba Nàìjíríà ní gbèdéke ọjọ́ 15 ṣáájú ìyanṣẹ́lódì, kà nípa nkán tí wọ́n n béèrè fún",0,0,0,0,0,0
yoruba_1_00004,Sunday Igboho: Ẹ fún mi ní ₦500bn lórí dúkìá mi tẹ bàjẹ́ àti títẹ ẹ̀tọ́ mi lójú mọ́lẹ̀,2,0,0,0,0,0
yoruba_1_00005,"Buhari sacks Emefiele: Ṣé lóòtọ́ ni Ààrẹ Buhari ti gbaṣẹ́ lọ́wọ́ gómìnà Báǹkì àpapọ̀ Nàìjíríà, Godwin Emefiele?",0,0,2,0,0,0
yoruba_1_00006,"Nkechi Blessing: Jide Kosoko, pè mí ní ọmọ àlè tí Ọlọ́run kò bá ṣiṣẹ́ takò ọ́",3,0,0,0,0,0
yoruba_1_00007,EFCC: Pàṣípáàrọ̀ owó ni Mompha fi ń bojú láti ṣe gbájúẹ̀ àti 419,0,0,0,2,0,0
yoruba_1_00008,Former NFF president dies: Ààrẹ NFF tẹ́lẹ̀ri Oneya jáde láyé lẹ́ni ọdún 73,0,2,0,0,0,0
yoruba_1_00009,Kogi àti Bayelsa: Èsì tó jáde láti ìpínlẹ̀ Kogi,0,0,0,0,0,0
yoruba_1_00010,"Osinachi Nwachukwu n wọ káà ilẹ̀ sùn lónìí, ètò ìsìnkú ìkẹhìn ti bẹ̀rẹ̀!",0,3,0,0,0,0
yoruba_1_00011,"Afurasí tó kó òkú ajá, ejò, olóngìnní 183 sínú 'freezer' kó sí pańpẹ́ ọlọ́pàá",0,0,0,2,0,0
yoruba_1_00012,"Oyo PDP: Olórí ọ̀dọ́ farapa ni, ẹni tó wa ọ̀kọ́ ló kú",0,2,0,0,0,0
yoruba_1_00013,Fulani herdsmen attack: Ẹ gbọ́ ọ̀rọ̀ láti ẹnu ọba ìlú tí ìṣẹ̀lẹ̀ náà ti wáyé,0,0,0,0,0,0
yoruba_1_00014,"Iṣẹ́ yóò wà lọ́pọ̀ yanturu l’Ekiti tí mo bá di gómìnà - Adeyinka Ali, olùdíje ẹgbẹ́ APP",0,0,0,0,0,2
yoruba_1_00015,Failed Kidnap attempt: Ọwọ́ ọlọ́pàá tẹ ìyàwó ilé tó gbìmọ̀ pọ̀ pẹ̀lú àwọn kan láti jí ọkọ rẹ̀ gbé,0,0,0,0,0,0
yoruba_1_00016,Nigerian Senators deaths: Àwọn sẹ́nẹ́tọ̀ mẹ́rin tó jáde láyé ní Nàìjíríà láàrin oṣù mẹ́fà sẹ́yìn rèé,0,2,0,0,0,0
yoruba_1_00017,Ọwọ́ agbófinró tẹ Olùkọ́ tó jí aṣọ ọlọ́pàá kó ní Abeokuta ṣùgbọ́n tó ń díbọ́n bíi ọlọ́pàá ní Ibadan,0,0,2,0,0,0
yoruba_1_00018,Yinka Ayefele ni ìkómọ àwọn ìbẹ́ta òun kò tíì lè wáyé báyìí àyàfi tí òun bá gba páálí wọn l'Ámẹ́ríkà,0,0,1,0,0,0
yoruba_1_00019,Kayode Badru: Gbogbo àwọn tí ọ̀rọ̀ ikú Kayode Badru kàn tó fí mọ́ ''Oluṣọ Ebony'' ló wà ní àtìmọ́lé,0,3,0,0,0,0
yoruba_1_00020,"Tope Alabi: Mo ti tọrọ aṣọ àti yẹtí etí rí, kí n tó leè ṣe àwo orin",0,0,3,0,0,0
